website_id,category,scenario,technical_score,technical_norm,demographic_score,demographic_norm,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,stability_status,top_issue_1,top_issue_2,top_issue_3
W09,tangan,S1,0.6799509336240972,0.4517612967490719,0.002899772514,0.3927261120078816,0.434050741327,20,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W15,tangan,S1,0.4827586206896551,0.3207461740469075,0.0033,0.5356678474583676,0.38522267607,21,29,23,18,,SC 1.3.1,SC 2.2.1,SC 1.4.3
W31,tangan,S1,0.7671800463404662,0.5097165625282984,0.001999787426,0.0712953386144764,0.378190195354,22,12,4,25,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W20,tangan,S1,0.4361455635818455,0.2897763288961333,0.00250009023,0.2499790961175888,0.277837159063,23,18,10,14,,SC 1.4.3,SC 1.3.1,SC 1.1.1
W11,tangan,S1,0.1744582254327382,0.1159105315584533,0.0036,0.6428132138691737,0.273981336252,24,11,27,15,,SC 1.1.1,SC 4.1.2,SC 1.3.1
W32,tangan,S1,0.4361455635818455,0.2897763288961333,0.002399757447,0.2141451201257526,0.267086966265,25,4,22,11,,SC 1.4.3,SC 1.1.1,SC 1.3.1
W03,tangan,S1,0.2572168461223934,0.1708955899664946,0.002900046094,0.3928238214390239,0.237474059408,26,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W10,tangan,S1,0.4641133978465313,0.3083582359865978,0.001800165153,0.0,0.215850765191,27,7,26,29,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W12,tangan,S1,0.0,0.0,0.002599998381,0.2856614142719926,0.085698424282,28,21,29,27,,SC 1.3.1,SC 1.4.3,No dominant issue
W24,tangan,S1,0.0,0.0,0.002199780159,0.1427229874704215,0.042816896241,29,29,29,8,,SC 1.3.1,SC 3.1.1,No dominant issue
