website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W05,melihat,19.330000000000002,0.3618274896165363,0.0032,0.16666666666666666,S1,0.3032792427315754,17,9,11,26,4.1.2,2.4.4,1.1.1,Sensitif
W29,melihat,7.05,0.12460156476383658,0.0054,0.6904761904761905,S1,0.2943639524775427,18,24,24,5,1.4.3,4.1.2,2.4.4,Sensitif
W04,melihat,12.209999999999999,0.22428281657490584,0.0042,0.40476190476190466,S1,0.27842654303100545,19,15,21,16,4.1.2,2.4.4,1.4.3,Sensitif
W25,melihat,13.87,0.2563508161885444,0.0036,0.2619047619047618,S1,0.2580169999034096,20,16,15,21,1.4.3,4.1.2,2.4.4,Sensitif
W22,melihat,13.169999999999998,0.24282816574905824,0.0037,0.2857142857142857,S1,0.25569400173862644,21,17,18,20,1.4.3,4.1.2,2.4.4,Sensitif
W10,melihat,13.425,0.24775427412344253,0.0031,0.1428571428571428,S1,0.2162851347435526,22,19,17,27,1.4.3,4.1.2,2.4.4,Sensitif
W02,melihat,9.665000000000001,0.17511832319134554,0.0038,0.3095238095238095,S1,0.2154399690910847,23,23,23,18,4.1.2,1.4.3,2.4.4,Sensitif
W17,melihat,11.77,0.215782864870086,0.0034,0.2142857142857142,S1,0.21533371969477444,24,21,22,25,1.4.3,4.1.2,1.4.1,Sensitif
W24,melihat,0.6000000000000001,0.0,0.0054,0.6904761904761905,S1,0.20714285714285713,25,30,30,5,3.1.1,-,-,Sensitif
W03,melihat,3.4200000000000004,0.05447696319907275,0.0047,0.5238095238095237,S1,0.19527673138220802,26,26,26,10,1.4.3,4.1.2,2.4.4,Sensitif
W14,melihat,3.145,0.049164493383560326,0.0043,0.4285714285714285,S1,0.16298657393992075,27,27,27,12,4.1.2,1.4.3,3.1.1,Sensitif
W12,melihat,3.75,0.06085192697768763,0.0031,0.1428571428571428,S1,0.08545349174152417,28,25,25,27,1.4.3,-,-,Sensitif
W15,melihat,1.05,0.008693132425383946,0.0035,0.23809523809523805,S1,0.07751376412634017,29,28,29,22,1.4.3,2.2.1,-,Sensitif
W16,melihat,1.4000000000000001,0.015454457645127019,0.0025,0.0,S1,0.010818120351588913,30,28,28,30,1.4.4,3.1.1,-,Sensitif
