website_id,category,issue_rank,wcag_sc,page_id,page_url
W11,melihat,3,1.4.3,P051,https://dinsos.jakarta.go.id/
W11,melihat,3,1.4.3,P055,https://dinsos.jakarta.go.id/
W11,tangan,1,4.1.2,P051,https://dinsos.jakarta.go.id/
W11,tangan,1,4.1.2,P055,https://dinsos.jakarta.go.id/
W11,tangan,2,1.1.1,P051,https://dinsos.jakarta.go.id/
W11,tangan,2,1.1.1,P055,https://dinsos.jakarta.go.id/
W11,tangan,3,2.4.2,P053,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf
W11,tangan,3,2.4.2,P054,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf
W12,melihat,1,1.4.3,P056,https://dinsos.jabarprov.go.id/
W12,melihat,1,1.4.3,P057,https://dinsos.jabarprov.go.id/visi-misi
W12,melihat,1,1.4.3,P058,https://dinsos.jabarprov.go.id/sasaran-program-dinsos-jabar
W12,melihat,1,1.4.3,P059,https://dinsos.jabarprov.go.id/sop-pelayanan-informasi
W12,melihat,1,1.4.3,P060,https://dinsos.jabarprov.go.id/pengaduan
W13,melihat,1,1.1.1,P061,https://jatengprov.go.id/
W13,melihat,1,1.1.1,P062,https://jatengprov.go.id/sejarah/
W13,melihat,1,1.1.1,P063,https://jatengprov.go.id/katalog-layanan-jatengprov/
W13,melihat,1,1.1.1,P064,https://jatengprov.go.id
W13,melihat,1,1.1.1,P065,https://jatengprov.go.id
W13,melihat,2,4.1.2,P061,https://jatengprov.go.id/
W13,melihat,2,4.1.2,P062,https://jatengprov.go.id/sejarah/
W13,melihat,2,4.1.2,P063,https://jatengprov.go.id/katalog-layanan-jatengprov/
W13,melihat,2,4.1.2,P064,https://jatengprov.go.id
W13,melihat,2,4.1.2,P065,https://jatengprov.go.id
W13,melihat,3,1.4.3,P061,https://jatengprov.go.id/
W13,melihat,3,1.4.3,P064,https://jatengprov.go.id
W13,melihat,3,1.4.3,P065,https://jatengprov.go.id
W13,tangan,1,4.1.2,P061,https://jatengprov.go.id/
W13,tangan,1,4.1.2,P062,https://jatengprov.go.id/sejarah/
W13,tangan,1,4.1.2,P063,https://jatengprov.go.id/katalog-layanan-jatengprov/
W13,tangan,1,4.1.2,P064,https://jatengprov.go.id
W13,tangan,1,4.1.2,P065,https://jatengprov.go.id
W13,tangan,2,2.4.4,P061,https://jatengprov.go.id/
W13,tangan,2,2.4.4,P062,https://jatengprov.go.id/sejarah/
W13,tangan,2,2.4.4,P063,https://jatengprov.go.id/katalog-layanan-jatengprov/
W13,tangan,2,2.4.4,P064,https://jatengprov.go.id
W13,tangan,2,2.4.4,P065,https://jatengprov.go.id
W13,tangan,3,1.1.1,P061,https://jatengprov.go.id/
W13,tangan,3,1.1.1,P062,https://jatengprov.go.id/sejarah/
W13,tangan,3,1.1.1,P063,https://jatengprov.go.id/katalog-layanan-jatengprov/
W13,tangan,3,1.1.1,P064,https://jatengprov.go.id
W13,tangan,3,1.1.1,P065,https://jatengprov.go.id
W14,melihat,1,4.1.2,P066,https://dinsos.jogjaprov.go.id/
W14,melihat,1,4.1.2,P067,https://dinsos.jogjaprov.go.id/#
W14,melihat,1,4.1.2,P068,https://dinsos.jogjaprov.go.id/layanan
