page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P119,W24,https://dinsos.kaltaraprov.go.id/elementor-6083,Konten,"Auto-dipilih (link: ""Berita Kaltara"", keyword: berita) - REVIEW",,,
P120,W24,https://dinsos.kaltaraprov.go.id/pelayanan-pengaduan/,Interaksi/Kontak,"Auto-dipilih (link: ""Layanan"", keyword: pengaduan) - REVIEW",,,
P121,W25,https://sulutprov.go.id,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P122,W25,https://sulutprov.go.id/profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,,
P123,W25,https://sulutprov.go.id/press-release/gubernur-yulius-pastikan-negara-hadir-bantuan-untuk-korban-kebakaran-asgap-pakowa-disalurkan,Layanan,"Auto-dipilih (link: ""30 Juli 2026Gubernur Yulius Pastikan Negara Hadir, Bantuan untuk Korban Kebakara"", keyword: bantuan) - REVIEW",,,
P124,W25,https://sulutprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P125,W25,https://sulutprov.go.id/profil,Interaksi/Kontak,email ada di footer,,,
P126,W26,https://sultengprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P127,W26,,Profil,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P128,W26,,Layanan,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P129,W26,,Konten,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P130,W26,,Interaksi/Kontak,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P131,W27,https://dinsossulselpemprov.com/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P132,W27,https://dinsossulselpemprov.com/profile/,Profil,"Auto-dipilih (link: ""Profil Kepala Dinas"", keyword: profil) - REVIEW",,,
P133,W27,https://dinsossulselpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Layanan,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: permohonan) - REVIEW",,,
P134,W27,https://dinsossulselpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Konten,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: informasi) - REVIEW",,,
P135,W27,,Interaksi/Kontak,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P136,W28,https://dinsos.sultraprov.go.id/home,Homepage,Dipilih dari page_candidates.csv (requests) - link: (homepage),,,
P137,W28,https://dinsos.sultraprov.go.id/profil/sambutan,Profil,"Dipilih dari page_candidates.csv (requests) - link: Profil, keyword: profil",,,
P138,W28,,Layanan,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
