website_id,page_type,candidate_url,link_text,matched_keyword
W12,Layanan,https://dinsos.jabarprov.go.id/biaya-layanan,Biaya Layanan,layanan
W12,Konten,https://dinsos.jabarprov.go.id/sop-pelayanan-informasi,Prosedur Pelayanan Informasi,informasi
W12,Konten,https://dinsos.jabarprov.go.id/berita/berita-umum,Berita Umum,berita
W12,Konten,https://dinsos.jabarprov.go.id/berita/berita-foto,Berita Foto,berita
W12,Interaksi/Kontak,https://dinsos.jabarprov.go.id/pengaduan,Pengaduan,pengaduan
W12,Interaksi/Kontak,https://dinsos.jabarprov.go.id/pengaduan-gratifikasi,Pengaduan Gratifikasi,pengaduan
W12,Interaksi/Kontak,https://dinsos.jabarprov.go.id/FormulirPernyataanKeberatan,Formulir Pernyataan Keberatan,formulir
W13,Profil,https://jatengprov.go.id/sejarah/,Sejarah,sejarah
W13,Profil,https://jatengprov.go.id/visi-dan-misi/,Visi dan Misi,visi
W13,Profil,https://jatengprov.go.id/tupoksi-badan-publik/,Tugas dan Fungsi Pemerintah Provinsi Jawa Tengah Beserta Unit di Bawahnya,tugas dan fungsi
W13,Layanan,https://jatengprov.go.id/katalog-layanan-jatengprov/,Katalog Layanan,layanan
W13,Layanan,https://jatengprov.go.id/kebijakan-dan-prosedur-implementasi-ai/,Kebijakan dan Prosedur Implementasi AI,prosedur
W13,Layanan,https://jatengprov.go.id/rilis/daftar-peserta-lolos-administrasi-beasiswa-santri-2026-program-luar-negeri/,Daftar Peserta Lolos Administrasi Beasiswa Santri,program
W13,Konten,https://jatengprov.go.id,JATENGPROV.GO.IDPortal Informasi Warga Jateng,informasi
W13,Konten,https://jatengprov.go.id/news/,Berita Terkini,berita
W13,Konten,https://jatengprov.go.id/publik/,Berita Utama,berita
W13,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W14,Profil,https://dinsos.jogjaprov.go.id/page/8e416db7-d645-46e9-a851-92bdcd9a9b5b,Sejarah,sejarah
W14,Profil,https://dinsos.jogjaprov.go.id/page/9a89b606-42e5-430a-b152-69d0292c4aae,"Visi, Misi Tujuan, dan Sasaran",visi
W14,Profil,https://dinsos.jogjaprov.go.id/page/450e6551-e368-11ef-ab28-ffab30f5f136,Struktur Organisasi,struktur
